EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1135.59,-12441.001068369871,1,115,1181.3447122573853,143365,5.841255187988281e-05,-0.48398793,0.0709147,0.0,-0.08109797,23722.207
1157.55,-12486.331097593957,1,116,1195.6650812625885,147459,0.0001844167709350586,-0.48513988,0.10504759,0.0,-0.07499988,10134.817
1209.5,-12972.238365625937,2,118,1222.1157908439636,155241,-2.8848648071289062e-05,-0.48999262,0.3018817,0.0,-0.07828663,45886.156
1153.18,-12460.886166952125,3,121,1270.7335042953491,159626,8.058547973632812e-05,-0.49156618,0.15588509,0.0,-0.1152983,51937.6
1147.01,-12392.515744139448,1,122,1279.0610234737396,159768,0.00019407272338867188,-0.49136388,0.004288043,0.0,-0.003906761,7409.4346
1183.13,-12675.938488140491,3,125,1310.9777088165283,167018,1.9669532775878906e-06,-0.49566984,0.07984988,0.0,-0.08216713,38407.438
1144.66,-11913.745791566966,4,129,1347.0566351413727,171627,2.4974346160888672e-05,-0.5013833,0.0049665975,0.0,-0.031055642,24368.045
1145.16,-12002.326216595213,2,131,1365.0207335948944,174658,1.4185905456542969e-05,-0.5092579,0.36708426,0.0,-0.081346095,41544.465
1160.79,-12120.897907175957,2,133,1386.1359086036682,179708,2.5093555450439453e-05,-0.5168109,0.09927867,0.0,-0.06618851,24414.06
1161.16,-12156.089870435064,1,134,1404.1407933235168,181518,7.927417755126953e-06,-0.5237066,0.0019775769,0.0,-0.004610548,40152.58
1187.99,-12394.731131074224,3,137,1433.3444623947144,187131,3.802776336669922e-05,-0.5316453,0.6564656,0.0,-0.09047063,21986.088
1187.99,-12394.731131074224,0,137,1436.7285845279694,187131,3.24249267578125e-05,-0.53522456,0.37387094,0.0,-0.060121935,2185.2314
1232.14,-12447.46158339256,2,139,1448.216602563858,193675,-3.24249267578125e-05,-0.5409278,0.029573247,0.0,0.01044759,5883.2764
